ETITLE:      TS           BOND          ANGLE          DIHED          IMPRP               ELECT            VDW       BOUNDARY           MISC        KINETIC               TOTAL           TEMP      POTENTIAL         TOTAL3        TEMPAVG            PRESSURE      GPRESSURE         VOLUME       PRESSAVG      GPRESSAVG
ENERGY:  110000         0.0000         0.0000         0.0000         0.0000          -5588.8522       384.0717         0.0000         0.0000       947.3624          -4257.4181       300.9687     -5204.7805     -4254.3910       300.0605           -736.8413      -714.0192     22940.1185      -177.2455      -177.2432
ENERGY:  115000         0.0000         0.0000         0.0000         0.0000          -5594.2847       422.5733         0.0000         0.0000       917.3650          -4254.3464       291.4388     -5171.7114     -4250.4623       302.9700            -45.8284       -23.9892     22810.1708      -200.3840      -200.3886
ENERGY:  120000         0.0000         0.0000         0.0000         0.0000          -5639.6098       419.2684         0.0000         0.0000       947.5240          -4272.8174       301.0201     -5220.3414     -4269.8846       298.8433             79.1209       104.6629     22796.4622      -206.9944      -206.8771
ENERGY:  125000         0.0000         0.0000         0.0000         0.0000          -5575.8015       412.5502         0.0000         0.0000       916.7488          -4246.5025       291.2430     -5163.2513     -4245.1213       296.6560            391.0341       403.3209     22627.1265      -244.9961      -245.2324
ENERGY:  130000         0.0000         0.0000         0.0000         0.0000          -5566.7445       372.4262         0.0000         0.0000       943.4987          -4250.8195       299.7412     -5194.3182     -4247.8545       298.8453           -505.0151      -483.9120     22693.7396      -260.8631      -260.9434
ENERGY:  135000         0.0000         0.0000         0.0000         0.0000          -5583.2732       374.5150         0.0000         0.0000       935.0722          -4273.6860       297.0642     -5208.7582     -4271.6647       299.1547           -484.3125      -467.9969     22688.4668      -175.6009      -175.5830
ENERGY:  140000         0.0000         0.0000         0.0000         0.0000          -5631.0020       406.2251         0.0000         0.0000       971.5213          -4253.2557       308.6438     -5224.7770     -4251.6430       300.6184             -9.4064         9.0665     22826.5238      -242.6414      -242.7620
ENERGY:  145000         0.0000         0.0000         0.0000         0.0000          -5575.4094       375.6788         0.0000         0.0000       966.6010          -4233.1296       307.0806     -5199.7306     -4230.7919       298.8797           -343.1815      -331.6502     22716.2745      -198.1662      -198.1212
ENERGY:  150000         0.0000         0.0000         0.0000         0.0000          -5628.9597       402.4058         0.0000         0.0000       922.2386          -4304.3152       292.9871     -5226.5539     -4301.5192       299.1429           -245.3206      -217.5843     22592.3431      -236.0592      -235.9700
ENERGY:  155000         0.0000         0.0000         0.0000         0.0000          -5635.3729       415.0418         0.0000         0.0000       882.3743          -4337.9568       280.3226     -5220.3311     -4337.0869       298.4655             65.1958        80.2511     22517.4702      -211.4341      -211.5537
ENERGY:  160000         0.0000         0.0000         0.0000         0.0000          -5666.3004       380.1280         0.0000         0.0000       924.7620          -4361.4104       293.7888     -5286.1724     -4359.1415       291.8252           -744.4669      -735.0244     22689.5525      -234.8704      -234.6915
ENERGY:  165000         0.0000         0.0000         0.0000         0.0000          -5623.3339       405.9455         0.0000         0.0000       889.9298          -4327.4586       282.7229     -5217.3884     -4325.5283       292.1393           -788.5822      -781.2312     22950.1004      -203.5810      -203.5951
ENERGY:  170000         0.0000         0.0000         0.0000         0.0000          -5580.8205       378.8780         0.0000         0.0000       962.6401          -4239.3024       305.8223     -5201.9425     -4237.1009       295.6972           -704.7451      -681.5431     22708.7075      -223.2351      -223.2226
ENERGY:  175000         0.0000         0.0000         0.0000         0.0000          -5737.0997       432.8245         0.0000         0.0000       980.4713          -4323.8038       311.4871     -5304.2752     -4321.5429       298.2012            224.0328       243.9784     22315.9753      -234.4902      -234.4459
ENERGY:  180000         0.0000         0.0000         0.0000         0.0000          -5633.2358       399.8794         0.0000         0.0000       897.4246          -4335.9319       285.1039     -5233.3564     -4333.9805       298.2327           -217.6655      -207.8017     22615.8028      -138.3985      -138.3048
ENERGY:  185000         0.0000         0.0000         0.0000         0.0000          -5624.5363       394.5249         0.0000         0.0000       973.9028          -4256.1086       309.4004     -5230.0114     -4254.6275       296.9363           -179.6406      -164.0024     22417.6626      -151.9232      -152.0527
ENERGY:  190000         0.0000         0.0000         0.0000         0.0000          -5638.1148       381.9801         0.0000         0.0000       990.4143          -4265.7203       314.6459     -5256.1346     -4262.8457       298.7390           -310.5561      -289.0484     22508.0508      -206.1979      -206.1688
ENERGY:  195000         0.0000         0.0000         0.0000         0.0000          -5733.7248       462.9963         0.0000         0.0000       895.8673          -4374.8612       284.6092     -5270.7285     -4372.4238       301.5319            232.6432       260.5439     22664.7040      -257.4916      -257.3702
