# step Etot Epot T p 
119 -4874.5647 -4874.5647 0.0 1224.1442 
120 -4874.5934 -4874.5934 0.0 1222.5892 
121 -4874.6033 -4874.6033 0.0 1221.8437 
122 -4874.607 -4874.607 0.0 1221.4843 
123 -4874.6083 -4874.6083 0.0 1221.3107 
124 -4874.609 -4874.609 0.0 1221.2229 
125 -4874.6093 -4874.6093 0.0 1221.1793 
126 -4874.6095 -4874.6095 0.0 1221.1576 
127 -4874.6096 -4874.6096 0.0 1221.1467 
128 -4874.3983 -4874.3983 0.0 1234.5193 
129 -4874.5992 -4874.5992 0.0 1227.1678 
130 -4874.0675 -4874.0675 0.0 1242.686 
131 -4874.4302 -4874.4302 0.0 1234.134 
132 -4874.5379 -4874.5379 0.0 1230.4655 
133 -4874.5741 -4874.5741 0.0 1228.7726 
134 -4874.5882 -4874.5882 0.0 1227.955 
135 -4874.5942 -4874.5942 0.0 1227.5549 
136 -4874.5969 -4874.5969 0.0 1227.3588 
137 -4874.598 -4874.598 0.0 1227.264 
138 -4874.5986 -4874.5986 0.0 1227.2157 
139 -4874.5989 -4874.5989 0.0 1227.1916 
140 -4874.5991 -4874.5991 0.0 1227.1797 
141 -4874.0874 -4874.0874 0.0 1242.5006 
142 -4874.4402 -4874.4402 0.0 1234.018 
143 -4874.5426 -4874.5426 0.0 1230.4068 
144 -4874.5763 -4874.5763 0.0 1228.7469 
145 -4874.5892 -4874.5892 0.0 1227.9471 
146 -4874.5946 -4874.5946 0.0 1227.5564 
147 -4874.597 -4874.597 0.0 1227.3641 
148 -4874.598 -4874.598 0.0 1227.273 
149 -4874.5985 -4874.5985 0.0 1227.2261 
150 -4874.5988 -4874.5988 0.0 1227.2027 
151 -4874.5989 -4874.5989 0.0 1227.1911 
152 -4874.0971 -4874.0971 0.0 1242.4153 
153 -4874.4457 -4874.4457 0.0 1233.9466 
154 -4874.5452 -4874.5452 0.0 1230.3679 
155 -4874.5774 -4874.5774 0.0 1228.7313 
156 -4874.5897 -4874.5897 0.0 1227.944 
157 -4874.5948 -4874.5948 0.0 1227.5602 
158 -4874.5971 -4874.5971 0.0 1227.3715 
159 -4874.5979 -4874.5979 0.0 1227.2824 
160 -4874.5985 -4874.5985 0.0 1227.2364 
161 -4874.5987 -4874.5987 0.0 1227.2136 
162 -4874.5988 -4874.5988 0.0 1227.2023 
163 -4874.1279 -4874.1279 0.0 1242.1241 
164 -4874.4549 -4874.4549 0.0 1233.957 
165 -4874.5492 -4874.5492 0.0 1230.4157 
166 -4874.5794 -4874.5794 0.0 1228.7718 
167 -4874.5906 -4874.5906 0.0 1227.9745 
168 -4874.5952 -4874.5952 0.0 1227.583 
169 -4874.5972 -4874.5972 0.0 1227.3894 
170 -4874.5979 -4874.5979 0.0 1227.2974 
171 -4874.5984 -4874.5984 0.0 1227.2497 
172 -4874.5986 -4874.5986 0.0 1227.226 
173 -4874.5987 -4874.5987 0.0 1227.2141 
174 -4874.1272 -4874.1272 0.0 1242.1397 
175 -4874.4558 -4874.4558 0.0 1233.9301 
176 -4874.5496 -4874.5496 0.0 1230.3987 
177 -4874.5795 -4874.5795 0.0 1228.7662 
178 -4874.5906 -4874.5906 0.0 1227.9764 
179 -4874.5951 -4874.5951 0.0 1227.5893 
180 -4874.5971 -4874.5971 0.0 1227.3983 
181 -4874.5978 -4874.5978 0.0 1227.3076 
182 -4874.5983 -4874.5983 0.0 1227.2607 
183 -4874.5985 -4874.5985 0.0 1227.2373 
184 -4874.5986 -4874.5986 0.0 1227.2257 
185 -4874.1265 -4874.1265 0.0 1242.1551 
186 -4874.4567 -4874.4567 0.0 1233.9032 
187 -4874.55 -4874.55 0.0 1230.3817 
188 -4874.5796 -4874.5796 0.0 1228.7605 
189 -4874.5906 -4874.5906 0.0 1227.9781 
190 -4874.5951 -4874.5951 0.0 1227.5955 
191 -4874.597 -4874.597 0.0 1227.4069 
192 -4874.5977 -4874.5977 0.0 1227.3176 
193 -4874.5982 -4874.5982 0.0 1227.2714 
194 -4874.5984 -4874.5984 0.0 1227.2484 
